title,image,date,latitude,longitude
"Les Éclaireurs lighthouse and tourist boat, Beagle Channel, Ushuaia, Tierra del Fuego, Argentina",https://windows10spotlight.com/wp-content/uploads/2025/10/1f7b4bc0c82508428febb740d8e81999-1024x576.jpg,7/11/2025,-54.8715021,-68.0832383
"Beagle Channel with Les Eclaireurs Lighthouse near Ushuaia, Tierra del Fuego, Argentina",https://windows10spotlight.com/wp-content/uploads/2022/08/b1cbe9ee44f4d1029f52356f32f6c92c-1024x576.jpg,8/10/2022,-54.8715021,-68.0832383
"Les Eclaireurs Lighthouse near Ushuaia in the Beagle Channel, Tierra del Fuego, Argentina",https://windows10spotlight.com/wp-content/uploads/2020/09/c2b0d139f69d649a96e35772eb216a9d-1024x576.jpg,9/21/2020,-54.8715021,-68.0832383
"Laguna del Caminante at Tierra del Fuego National Park, Ushuaia, Argentina",https://windows10spotlight.com/wp-content/uploads/2021/11/02fba4c07dc1134c5251b11972df8e93-1024x576.jpg,11/24/2021,-54.8349253,-68.4465053
"Sea lions on island at Beagle Channel, Ushuaia, Tierra del Fuego, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2024/08/0544f5e8acb41baafd042b7c4ca6428c-1024x576.jpg,8/14/2024,-54.8076116,-68.3058409
"Lighthouse in the Beagle Channel near Ushuaia, Tierra Del Fuego, Argentina",https://windows10spotlight.com/wp-content/uploads/2018/01/dfb64d1c9cdbf0f5a8a0f32dd4fb6764-1024x576.jpg,1/14/2018,-54.8076116,-68.3058409
"Ushuaia city bay, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2017/10/47538d82afe0339078fb4d56a4cfd1e0-1024x576.jpg,10/16/2017,-54.8076116,-68.3058409
"King penguin oakum boy chicks (Aptenodytes patagonicus) at Gold Harbor, South Georgia Island",https://windows10spotlight.com/wp-content/uploads/2020/08/a57a663598e56ae7b5467be228112b82-1024x576.jpg,8/22/2020,-54.6264666,-35.9420622
"King Penguins in Royal Bay of South Georgia, Antarctica",https://windows10spotlight.com/wp-content/uploads/2021/12/0935ccbb7f4439c1b01e693ced2fb0a8-1024x576.jpg,12/29/2021,-54.5378825,-35.9701337
"Two king penguins (Aptenodytes patagonicus) facing one another, St. Andrew's Bay, South Georgia",https://windows10spotlight.com/wp-content/uploads/2017/06/4e8535eb4a2e8c7395fb02e222807f15-1024x576.jpg,6/8/2017,-54.4392783,-36.1099191
"Three King Penguins in the sea on a beach in South Georgia, Antarctica",https://windows10spotlight.com/wp-content/uploads/2021/05/b68b2897da772d67843a4c1aa4923465-1024x576.jpg,5/18/2021,-54.4138333,-36.5827165
"Seascape with king penguins at St. Andrews Bay, South Georgia Island",https://windows10spotlight.com/wp-content/uploads/2020/11/e4a679fca8d0b22e1f94f6c85eeb2090-1024x576.jpg,11/9/2020,-54.4138333,-36.5827165
Sunrise at South Georgia Island,https://windows10spotlight.com/wp-content/uploads/2017/11/62f89d11571d19b6841ebf3020519398-1024x576.jpg,11/12/2017,-54.4138333,-36.5827165
"Sunset on South Georgia Island, Antarctica",https://windows10spotlight.com/wp-content/uploads/2017/08/0027e80bbc460e7383eab64de9cd3078-1024x576.jpg,8/27/2017,-54.4138333,-36.5827165
"King penguin stands out in the middle of the colony, Gold Harbour, South Georgia",https://windows10spotlight.com/wp-content/uploads/2016/12/4cec2dde766af430109b038bf9b278f8-1024x576.jpg,12/7/2016,-54.4138333,-36.5827165
"Gentoo Penguin couple along on a secluded beach, Tierra del Fuego, Argentina",https://windows10spotlight.com/wp-content/uploads/2019/04/07acaf87d5f34c5ac5156a96676a8a70-1024x576.jpg,4/7/2019,-54.3083548,-67.7451565
"Penguins at beach against sky, Falkland Islands",https://windows10spotlight.com/wp-content/uploads/2021/06/04dca5eae5f35aba8908e18ff025633b-1024x576.jpg,6/17/2021,-51.796253,-59.523613
"Gentoo penguins (Pygoscelis papua) on a sand dune, Falkland Islands",https://windows10spotlight.com/wp-content/uploads/2020/09/7d436c0eb402452181e4fdbb7499be39-1024x576.jpg,9/25/2020,-51.796253,-59.523613
"King Penguins (Aptenodytes patagonicus) patrol along Volunteer Point beach, Falkland Islands",https://windows10spotlight.com/wp-content/uploads/2017/06/17f8b374cb5b9d36d6981d099d82760c-1024x576.jpg,6/25/2017,-51.796253,-59.523613
"King Cormorant colony, Old Dock, Puerto Natales, Antarctic Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2024/04/b27d371c065381e244d9ef35aee36d76-1024x576.jpg,4/9/2024,-51.7269318,-72.5068209
"Sunset at Puerto Natales pier, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2019/01/010a50d952f66ad6dc3c3521d7749e2e-1024x576.jpg,1/15/2019,-51.7269318,-72.5068209
"View of Torres del Paine mountains against sky in winter, Puerto Natales, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2020/06/90f15f1b3245d8d94afd0fa8b26f80a7-1024x576.jpg,6/22/2020,-51.7262079,-72.4941487
"Adult southern rockhopper penguins (Eudyptes chrysocome) on Saunders Island, Falkland Islands",https://windows10spotlight.com/wp-content/uploads/2020/10/be4d7426267ba4e96baa0a4b095eb862-1024x576.jpg,10/2/2020,-51.3337756,-60.1142626
"Close up shot of Torres del Paine mountain range in the morning, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2023/09/308df919b252a06848fd4bfdabbda910-1024x576.jpg,9/18/2023,-51.2533443,-72.3516124
"Reflection of mountains in the lake at sunset, National Park Torres del Paine, Chile",https://windows10spotlight.com/wp-content/uploads/2022/11/33b401226de0eda8074621b86404d50e-1024x576.jpg,11/23/2022,-51.2533443,-72.3516124
"Laguna Torre and Granite towers of Torres del Paine at sunrise, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2021/06/612d739bece7892b9ad2ee05a4a82551-1024x576.jpg,6/15/2021,-51.2533443,-72.3516124
"Azure Lake Pehoe at the foot of the mountains, National Park Torres del Paine, Chile",https://windows10spotlight.com/wp-content/uploads/2021/06/249a99468d55feebb370150f1f505626-1024x576.jpg,6/5/2021,-51.2533443,-72.3516124
"Small bridge over stream, Torres del Paine Trek in Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2021/01/acc323c56434a2f57cac724a880ec916-1024x576.jpg,1/4/2021,-51.2533443,-72.3516124
"Lake Pehoe and Los Cuernos del Paine, Torres del Paine National Park, Ultima Esperanza, Chile",https://windows10spotlight.com/wp-content/uploads/2025/07/efd0a8defe271c03d7c20ddd48bd6402-1024x576.jpg,3/6/2025,-51.1,-73.066667
"Colorful sunset in Torres del Paine at Lake Pehoe, Chile",https://windows10spotlight.com/wp-content/uploads/2023/08/1c56651365de1065c1569824565fd480-1024x576.jpg,8/3/2023,-51.1,-73.066667
"Boardwalk to Lake Pehoe in Torres del Paine National Park, Magallanes Region, Chile",https://windows10spotlight.com/wp-content/uploads/2023/06/b37b677c667936298f2d6d249d5e8b0b-1024x576.jpg,6/25/2023,-51.1,-73.066667
"View on Torres del Paine over the Pehoe lake, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2023/02/3d2690b791d17f36a10ff238414bc6a3-1024x576.jpg,2/18/2023,-51.1,-73.066667
"Landscape at Lago Pehoé lake, National Park Torres del Paine in southern Chile",https://windows10spotlight.com/wp-content/uploads/2020/10/f60abf3509bb13f990eefafc03c25db7-1024x576.jpg,10/1/2020,-51.1,-73.066667
"View over lake Pehoe and the Torres del Paine, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2019/02/3f39cc9967d1d2f800a12ef9e19e3e86-1024x576.jpg,2/13/2019,-51.1,-73.066667
"Graceful silhouette guanaco on the lake Pehoe, National Park Torres del Paine, Chile",https://windows10spotlight.com/wp-content/uploads/2018/11/dfffe373d9c78e79e0d6a28ac186d8c5-1024x576.jpg,11/27/2018,-51.1,-73.066667
"Paine Massif at dawn, lake Pehoé, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2017/10/e60b9ce33e19e8b65175914a233f7ee3-1024x576.jpg,10/18/2017,-51.1,-73.066667
"Sunrise at Salto Grande waterfall in Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2020/01/72eb786c1d4aa8ed8c37b98faf4aed76-1024x576.jpg,1/3/2020,-51.0670324,-73.0066666
"Lake Lago Pehoe and Los Cuernos, Torres del Paine National Park, Chile, Patagonia",https://windows10spotlight.com/wp-content/uploads/2022/03/f333883b418b709c06a70d6e6af03b09-1024x576.jpg,3/12/2022,-51.0239296,-72.9855423
"Los Cuernos mountains reflecting in a puddle at sunset, Torres del Paine National Park, Chile",https://windows10spotlight.com/wp-content/uploads/2021/08/51e9087ecc4dc1a027f5c3833a6ef486-1024x576.jpg,8/15/2021,-51.0239296,-72.9855423
"View at Paine Grande and Cuernos del Paine, Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2025/06/fc0cb50b0bb2b7c4e3160d919c2da44b-1024x576.jpg,1/19/2025,-51.0075,-73.0958333
"View of lake and Cuernos del Paine and Paine Grande, Torres del Paine National Park, Chile",https://windows10spotlight.com/wp-content/uploads/2018/11/8951f3ef6bd7e9a042d0bcca1ad64cdf-1024x576.jpg,11/22/2018,-51.0075,-73.0958333
"Paine Horns (Los Cuernos) in Cordillera del Paine, Torres del Paine, Última Esperanza, Chile",https://windows10spotlight.com/wp-content/uploads/2023/08/fc62e3714df642306530ad1e950b8da7-1024x576.jpg,8/1/2023,-51,-73
"Lake Pehoe and the Cordillera del Paine at sunset, Torres del Paine, Chile",https://windows10spotlight.com/wp-content/uploads/2020/10/0864b27391dcc981f20ea1d78c299a61-1024x576.jpg,10/15/2020,-51,-73
"Cordillera Paine, Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2017/10/082603ccb1197b2777b7b048367232ef-1024x576.jpg,10/14/2017,-51,-73
"An elevated view of Lake Pehoé and Cuernos, Torres del Paine National Park, Chile",https://windows10spotlight.com/wp-content/uploads/2017/05/d14e9328e93924978b594dd71ff53eeb-1024x576.jpg,5/1/2017,-51,-73
"Close-up photo of Grey Glacier at Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2023/10/a9efe1d7ac6bad18013497f4bc391688-1024x576.jpg,10/8/2023,-50.95,-73.25
"Lake and Glacier Grey, National Park Torres del Paine, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2017/10/647ffdef6b178d16d3e68aca1b271495-1024x576.jpg,10/18/2017,-50.95,-73.25
"Guanaco crossing river in Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2025/06/cf3eda2361c81426099b5007d5afc79d-1024x576.jpg,2/7/2025,-50.9423262,-73.406788
"Guanacos in Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2023/07/8a0489b06f383babaa5448a4f7d8b362-1024x576.jpg,7/9/2023,-50.9423262,-73.406788
"Paine Horns Massif (Cuernos del Paine) in Torres del Paine National Park, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2022/11/48315eede985d2971a094ec641c9265c-1024x576.jpg,11/13/2022,-50.9423262,-73.406788
"Lake Lago Pehoe and Cuernos del Paine, sunset in Torres del Paine National Park, Chile",https://windows10spotlight.com/wp-content/uploads/2022/05/8e0782c5b80d0144fca96b72d66e5501-1024x576.jpg,5/12/2022,-50.9423262,-73.406788
"Cuernos del Paine, Torres del Paine National Park in Chile",https://windows10spotlight.com/wp-content/uploads/2022/03/41916aa2267228efedc71b3c9cd03889-1024x576.jpg,3/27/2022,-50.9423262,-73.406788
"Footpath alongside Perito Moreno Glacier, Los Glaciares National Park, Argentina",https://windows10spotlight.com/wp-content/uploads/2018/03/36bbe8642ec2432bacdcf54cb43d0925-1024x576.jpg,3/30/2018,-50.4967297,-73.1376612
"The Perito Moreno Glacier in the Los Glaciares National Park, Argentina",https://windows10spotlight.com/wp-content/uploads/2017/05/10c79a8fb356e342ad58c9693a4039f5-1024x576.jpg,5/30/2017,-50.4967297,-73.1376612
"Moreno Glacier, Glaciers National Park, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2017/06/4dd4f24bb1979ae6564dfa290970b111-1024x576.jpg,6/22/2017,-50.3305556,-73.2341667
"Waterfall with Mount Fitz Roy in autumn, Los Glaciares National Park, El Chaltén, Argentina",https://windows10spotlight.com/wp-content/uploads/2020/10/da96f211c3de816e8d2856b7cff36706-1024x576.jpg,10/6/2020,-49.3212778,-72.8943611
"Landscape with Mt Fitz Roy, Los Glaciares National Park, El Chaltén, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2020/06/d4fb53dd0bb00f7b0f893b49c1bc2705-1024x576.jpg,6/23/2020,-49.3212778,-72.8943611
"Mount Fitz Roy (Cerro Chalten) at sunrise, El Chaltén, Glaciers National Park, Argentina",https://windows10spotlight.com/wp-content/uploads/2017/10/75db2b71827bb50a646d2172ec997e11-1024x576.jpg,10/18/2017,-49.3212778,-72.8943611
"Laguna de los Tres, Mount Fitz Roy, Los Glaciares NP, El Chaltén, Santa Cruz, Argentina",https://windows10spotlight.com/wp-content/uploads/2025/12/3af5fb45cb3fa6ef647c1b8ec5a17e1b-1024x576.jpg,11/3/2025,-49.3206749,-72.8948386
"Mountains waterfall, Sendero Al Fitz Roy, El Chalten, Los Glaciares National Park, Argentina",https://windows10spotlight.com/wp-content/uploads/2026/01/fff785824cb843ba8d05df440afaea18-1024x576.jpg,11/27/2025,-49.3205284,-72.8949224
"Fitz Roy mountain near El Chaltén at sunset, Patagonia between Argentina and Chile",https://windows10spotlight.com/wp-content/uploads/2024/02/b72e2fb57052e9387263591405eb8f44-1024x576.jpg,2/5/2024,-49.3205284,-72.8949224
"Mount Fitz Roy and reflection on Laguna Capri, Sendero al Fitz Roy, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2023/08/f5840d6c6a98e92078df5660d2d45621-1024x576.jpg,8/31/2023,-49.3205284,-72.8949224
"Road to Fitz Roy at sunset, Ruta 23 leading to El Chaltén, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2023/08/228d437206f6d14ef180cac89b3f03e1-1024x576.jpg,8/12/2023,-49.3205284,-72.8949224
"Reflecting Fitz Roy Mountain in a lake near El Chaltén in autumn, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2021/01/3f997eb1570d8c2a68184609bf253d05-1024x576.jpg,1/17/2021,-49.3205284,-72.8949224
"Beautiful view with waterfall and Fitz Roy mountain, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2022/04/f6b58e7d7e4f14ba7bb1c51109f0a1b0-1024x576.jpg,4/26/2022,-49.271246,-73.043226
"Mount Fitz Roy in Los Glaciares National Park, El Chalten, Argentina, Patagonia",https://windows10spotlight.com/wp-content/uploads/2020/04/9ed935d663c09673d8236d27047b4d20-1024x576.jpg,4/12/2020,-49.271246,-73.043226
"Footbridge in Andes, Fitz Roy mountain range, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2018/07/e75d9910c25a97b475b7e2b4e9f060ad-1024x576.jpg,7/10/2018,-49.271246,-73.043226
"Laguna de Los Tres and mount Fitz Roy dramatical sunrise, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2017/05/9ef59d681f5d2ae4598965bab45724af-1024x576.jpg,5/28/2017,-49.271246,-73.043226
"The Waipapa Point lighthouse together with Slope Point, The Catlins, New Zealand South Island",https://windows10spotlight.com/wp-content/uploads/2023/02/5f3116319bfa1ce4e44ff86ba1f45cef-1024x576.jpg,2/2/2023,-46.6599477,168.8470565
"Natural landmark Marble Caves (Cuevas de Marmol ) on General Carrera Lake, Chile, Patagonia",https://windows10spotlight.com/wp-content/uploads/2023/08/c3e2a902f6d38283af5723034f496f0e-1024x576.jpg,8/11/2023,-46.6586031,-72.6275525
"Marble Caves (Capilla de Mármol) on General Carrera Lake, Rio Tranquilo, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2023/01/e76d83f96c61a8b0385a68ac30d6832d-1024x576.jpg,1/5/2023,-46.6586031,-72.6275525
"Marble Caves at General Carrera Lake, Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2020/03/cced70deb569a4718c1eb40f2ceb8572-1024x576.jpg,3/30/2020,-46.6586031,-72.6275525
"Eroded Marble Caves on Lago General Carrera shore, Northern Patagonia, Chile",https://windows10spotlight.com/wp-content/uploads/2018/10/b30e5ef74086797520fe0c277ba898a1-1024x576.jpg,10/2/2018,-46.6586031,-72.6275525
"Cuevas de Mármol, Carretera Austral, lago General Carrera lake, Puerto Tranquilo, Chile",https://windows10spotlight.com/wp-content/uploads/2022/09/934b4d3a1dfa59c38a4ca3d5957bc93d-1024x576.jpg,9/16/2022,-46.6238094,-72.6730458
"Nugget Point Lighthouse, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2021/05/fd2ee1396e389abbd8954ed1f67b7672-1024x576.jpg,5/4/2021,-46.4481392,169.816925
"Sunset view of Nugget Point and The Nuggets, Catlins area, Otago region, New Zealand",https://windows10spotlight.com/wp-content/uploads/2018/09/01eabc207be866ab07c6b9066fcd8892-1024x576.jpg,9/6/2018,-46.4463122,169.8103917
"Sunrise at Secret waterfall on Arroyo del Salto river, Glaciares, Patagonia, Argentina",https://windows10spotlight.com/wp-content/uploads/2021/04/20e23513cae174ad2c4d1f6ad0b63204-1024x576.jpg,4/24/2021,-46.3047537,-71.8203825
"Lake Monowai, Fiordland National Park, Southland, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2016/10/244c78a0df569a336ee00eab323cad79-1024x576.jpg,10/2/2016,-45.8842434,167.4276279
"Sunset over the bend of the river Clutha with Southern Alps peaks on the horizon, New Zealand",https://windows10spotlight.com/wp-content/uploads/2025/06/705eeb91687a94d03cf6e2b421c37fb8-1024x576.jpg,1/21/2025,-45.4410892,169.4428308
"View of beech forest with moss-covered trees, Fiordland National Park, New Zealand",https://windows10spotlight.com/wp-content/uploads/2023/10/339e343786cf83fad7f2254cde4ba229-1024x576.jpg,10/8/2023,-45.4238634,167.7200619
"Two yellow eyed penguins (megadyptes antipodes) at coast, Katiki Point, Moeraki, New Zealand",https://windows10spotlight.com/wp-content/uploads/2018/06/8d6db2b6a2aeebb41b20ab812c2ce0c8-1024x576.jpg,6/23/2018,-45.3920757,170.8679212
"Moeraki Boulders on Koekohe Beach at sunrise, Otago, New Zealand",https://windows10spotlight.com/wp-content/uploads/2021/01/1e2d43d16021a2f7d251beda2af508e0-1024x576.jpg,1/9/2021,-45.3452685,170.8262806
"Moeraki Boulders at sunrise, Koekohe Beach, New Zealand",https://windows10spotlight.com/wp-content/uploads/2017/06/f9c988505e1a37c06f14bc2241eb6f8a-1024x576.jpg,6/6/2017,-45.3452685,170.8262806
"Lake Wanaka and the Southern Alps seen from the Roy’s Peak Track, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2024/05/7a08e6a97bb4e3e5626e461474c38f73-1024x576.jpg,5/27/2024,-45.1526707,169.8926333
"Tranquil lake with jetty, Nelson Lakes, New Zealand South Island",https://windows10spotlight.com/wp-content/uploads/2023/01/655bcad478b8cc143a37c10ffd043d3c-1024x576.jpg,1/23/2023,-45.1526707,169.8926333
"Sunset at wind farm, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2017/06/e484d81b953264ca66b91b6c69f60f0b-1024x576.jpg,6/2/2017,-45.1526707,169.8926333
"Fernhill, Sunshine Bay and Lake Wakatipu at dusk, Otago region, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2021/09/a923ccadd135efe3d3f55485fecaa3ad-1024x576.jpg,9/8/2021,-45.0435127,168.6259988
"Summer view of Lake Wakatipu and the road from Queenstown to Glenorchy, New Zealand",https://windows10spotlight.com/wp-content/uploads/2021/07/6e38774f303e6d324c7fa9f260141eac-1024x576.jpg,7/21/2021,-45.0301511,168.6615141
"Aerial view of Queenstown at dusk with Lake Wakatipu and The Remarkables, New Zealand",https://windows10spotlight.com/wp-content/uploads/2022/12/de5be1be3d88e6c78e52fec60717171b-1024x576.jpg,12/1/2022,-45.0283785,168.688048
"Bench and footpath boardwalk at Wakatipu lake lagoon, Glenorchy, New Zealand",https://windows10spotlight.com/wp-content/uploads/2019/03/e4ee2cf6c014ecbcd37e49f33d3af2d5-1024x576.jpg,3/28/2019,-44.8490895,168.3874799
"Serenity at Lake Wanaka, That Wānaka Tree at dawn, Otago region, South Island of New Zealand",https://windows10spotlight.com/wp-content/uploads/2024/02/18aef86e416b1719eca54a52f3bf7bc6-1024x576.jpg,2/19/2024,-44.6983476,169.1175501
"The famous Wanaka Tree at Lake Wanaka, Otago, New Zealand",https://windows10spotlight.com/wp-content/uploads/2018/09/c60540a9ac31d02c6e228853e0ef42a1-1024x576.jpg,9/4/2018,-44.6983476,169.1175501
"Famous lone tree on lake Wanaka, New Zealand",https://windows10spotlight.com/wp-content/uploads/2017/04/35aee9573ee39892116a7f630ddac8fe-1024x576.jpg,4/12/2017,-44.6942992,169.1417356
Views near the Treble Cone ski area at Glendhu Bay in the Otago Region of New Zealand,https://windows10spotlight.com/wp-content/uploads/2023/06/eb9920abaa1995d2f9f2af1cd986a7e5-1024x576.jpg,6/3/2023,-44.6747612,169.0190363
"Piopiotahi (Milford Sound) Marine Reserve, Fiordland National Park, New Zealand South Island",https://windows10spotlight.com/wp-content/uploads/2024/11/a49f3ab173d5d5a708b6e971164fac1e-1024x576.jpg,11/12/2024,-44.6414024,167.8973801
"Sunset reflections at Milford Sound, Fiordland National Park, New Zealand’s South Island",https://windows10spotlight.com/wp-content/uploads/2021/10/8368bc4a49f3c467e42135265e5b082f-1024x576.jpg,10/31/2021,-44.6414024,167.8973801
"Morning view of Milford Sound (Piopiotahi), Fiordland National Park, New Zealand",https://windows10spotlight.com/wp-content/uploads/2018/10/d67ba1634b33a2fce4496f0e9fd2e690-1024x576.jpg,10/8/2018,-44.6414024,167.8973801
"Mountain glacier at Milford Sound, South Island, New Zealand",https://windows10spotlight.com/wp-content/uploads/2017/07/4f4b633abf4aa9a947e465d6e50cc298-1024x576.jpg,7/8/2017,-44.6414024,167.8973801
"Mount Aspiring, Rocky Peak, Glendhu Bay, Otago Region, Southern Alps, Southland, New Zealand",https://windows10spotlight.com/wp-content/uploads/2024/05/4cd4f4c0aa26b02892b6065b501b9f9d-1024x576.jpg,5/18/2024,-44.6395277,168.9695748
"Mitre Peak sunset view in Milford Sound, Fiordland, South Island of New Zealand",https://windows10spotlight.com/wp-content/uploads/2023/03/1d444c6fd7711c5b533af4667d57d883-1024x576.jpg,3/4/2023,-44.6269971,167.8387759
